,D,P,mode,ppn,time,"(P, ppn)"
49,16.0,4.0,1.0,1.0,0.002636,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.035363,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.037859,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.201461,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.187822,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.007224,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.003806,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.060044,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.037174,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,0.279058,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,0.285903,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.016701,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.027689,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.53722,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.437526,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,1.341929,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,1.705686,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,2.715689,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,1.619322,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,2.126838,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,1.471503,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,5.686156,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,5.725865,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.003045,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.00168,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.0279,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.025483,"(4.0, 1.0)"
