,D,P,mode,ppn,time,"(P, ppn)"
195,256.0,4.0,1.0,1.0,0.132304,"(4.0, 1.0)"
196,2048.0,4.0,0.0,1.0,0.480175,"(4.0, 1.0)"
197,2048.0,4.0,1.0,1.0,0.568434,"(4.0, 1.0)"
198,16.0,4.0,0.0,8.0,0.174617,"(4.0, 8.0)"
199,16.0,4.0,1.0,8.0,0.367975,"(4.0, 8.0)"
200,256.0,4.0,0.0,8.0,0.53726,"(4.0, 8.0)"
201,256.0,4.0,1.0,8.0,0.607744,"(4.0, 8.0)"
202,2048.0,4.0,0.0,8.0,1.26945,"(4.0, 8.0)"
203,2048.0,4.0,1.0,8.0,1.548018,"(4.0, 8.0)"
204,16.0,16.0,0.0,1.0,1.117913,"(16.0, 1.0)"
205,16.0,16.0,1.0,1.0,0.188818,"(16.0, 1.0)"
206,256.0,16.0,0.0,1.0,0.256052,"(16.0, 1.0)"
207,256.0,16.0,1.0,1.0,0.32979,"(16.0, 1.0)"
208,2048.0,16.0,0.0,1.0,2.909873,"(16.0, 1.0)"
209,2048.0,16.0,1.0,1.0,2.648256,"(16.0, 1.0)"
210,16.0,16.0,0.0,8.0,0.60079,"(16.0, 8.0)"
211,16.0,16.0,1.0,8.0,1.316201,"(16.0, 8.0)"
212,256.0,16.0,0.0,8.0,1.830281,"(16.0, 8.0)"
213,256.0,16.0,1.0,8.0,1.879467,"(16.0, 8.0)"
214,2048.0,16.0,0.0,8.0,6.31655,"(16.0, 8.0)"
215,2048.0,16.0,1.0,8.0,4.04897,"(16.0, 8.0)"
216,16.0,4.0,0.0,1.0,0.003752,"(4.0, 1.0)"
217,16.0,4.0,1.0,1.0,0.008415,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.038391,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.055391,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.234184,"(4.0, 1.0)"
