,D,P,mode,ppn,time,"(P, ppn)"
159,256.0,16.0,1.0,1.0,0.14858,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,2.708458,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,2.052472,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,3.281066,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,1.195337,"(16.0, 8.0)"
164,256.0,16.0,0.0,8.0,0.581727,"(16.0, 8.0)"
165,256.0,16.0,1.0,8.0,0.572084,"(16.0, 8.0)"
166,2048.0,16.0,0.0,8.0,2.044396,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,2.460976,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.009356,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.003743,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.010744,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.012173,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.081899,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.095853,"(4.0, 1.0)"
174,16.0,4.0,0.0,8.0,0.202431,"(4.0, 8.0)"
175,16.0,4.0,1.0,8.0,0.102952,"(4.0, 8.0)"
176,256.0,4.0,0.0,8.0,0.304571,"(4.0, 8.0)"
177,256.0,4.0,1.0,8.0,0.238388,"(4.0, 8.0)"
178,2048.0,4.0,0.0,8.0,1.025984,"(4.0, 8.0)"
179,2048.0,4.0,1.0,8.0,0.930491,"(4.0, 8.0)"
180,16.0,16.0,0.0,1.0,0.004469,"(16.0, 1.0)"
181,16.0,16.0,1.0,1.0,0.009754,"(16.0, 1.0)"
182,256.0,16.0,0.0,1.0,0.477711,"(16.0, 1.0)"
183,256.0,16.0,1.0,1.0,0.500176,"(16.0, 1.0)"
184,2048.0,16.0,0.0,1.0,1.205074,"(16.0, 1.0)"
185,2048.0,16.0,1.0,1.0,1.203873,"(16.0, 1.0)"
186,16.0,16.0,0.0,8.0,1.528525,"(16.0, 8.0)"
187,16.0,16.0,1.0,8.0,0.321511,"(16.0, 8.0)"
188,256.0,16.0,0.0,8.0,3.747682,"(16.0, 8.0)"
189,256.0,16.0,1.0,8.0,3.283604,"(16.0, 8.0)"
190,2048.0,16.0,0.0,8.0,1.39385,"(16.0, 8.0)"
191,2048.0,16.0,1.0,8.0,1.613011,"(16.0, 8.0)"
192,16.0,4.0,0.0,1.0,0.00782,"(4.0, 1.0)"
193,16.0,4.0,1.0,1.0,0.000477,"(4.0, 1.0)"
194,256.0,4.0,0.0,1.0,0.025084,"(4.0, 1.0)"
195,256.0,4.0,1.0,1.0,0.032926,"(4.0, 1.0)"
196,2048.0,4.0,0.0,1.0,0.3374,"(4.0, 1.0)"
197,2048.0,4.0,1.0,1.0,0.335019,"(4.0, 1.0)"
198,16.0,4.0,0.0,8.0,0.208361,"(4.0, 8.0)"
199,16.0,4.0,1.0,8.0,0.054902,"(4.0, 8.0)"
200,256.0,4.0,0.0,8.0,0.218107,"(4.0, 8.0)"
201,256.0,4.0,1.0,8.0,0.182529,"(4.0, 8.0)"
202,2048.0,4.0,0.0,8.0,0.719801,"(4.0, 8.0)"
203,2048.0,4.0,1.0,8.0,0.62253,"(4.0, 8.0)"
204,16.0,16.0,0.0,1.0,1.08464,"(16.0, 1.0)"
205,16.0,16.0,1.0,1.0,0.015012,"(16.0, 1.0)"
206,256.0,16.0,0.0,1.0,0.089866,"(16.0, 1.0)"
207,256.0,16.0,1.0,1.0,0.09638,"(16.0, 1.0)"
208,2048.0,16.0,0.0,1.0,2.007834,"(16.0, 1.0)"
209,2048.0,16.0,1.0,1.0,0.961287,"(16.0, 1.0)"
210,16.0,16.0,0.0,8.0,1.565318,"(16.0, 8.0)"
211,16.0,16.0,1.0,8.0,1.422871,"(16.0, 8.0)"
212,256.0,16.0,0.0,8.0,1.411359,"(16.0, 8.0)"
213,256.0,16.0,1.0,8.0,1.465136,"(16.0, 8.0)"
214,2048.0,16.0,0.0,8.0,5.498245,"(16.0, 8.0)"
215,2048.0,16.0,1.0,8.0,2.759695,"(16.0, 8.0)"
216,16.0,4.0,0.0,1.0,0.001438,"(4.0, 1.0)"
217,16.0,4.0,1.0,1.0,0.001541,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.010571,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.012537,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.083066,"(4.0, 1.0)"
221,2048.0,4.0,1.0,1.0,0.095336,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.005221,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.003006,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,0.040835,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.050416,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,0.354726,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,0.350692,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,1.447471,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,0.218494,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,1.412328,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,0.222564,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,0.545254,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,0.550149,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,0.370447,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,0.219878,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,0.345711,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,0.4385,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,2.622518,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,3.362978,"(16.0, 8.0)"
